# This file lists of the beamformer sweet spots
# The gridpoint_number is an MWA-specific identifier
# Azimuth angle (AZ) increases clockwise from north (AZ = 0 is local north, AZ = 90 is east etc.).
# Delay calculations of the perfect beamformer pointings using a nominal value of 435 picoseconds 
# for each delay-line step on the delay boards.
#azimuth,zenith_angle,gridpoint_number,delays
0,56.088,145,21,21,21,21,14,14,14,14,7,7,7,7,0,0,0,0
90,56.088,146,0,7,14,21,0,7,14,21,0,7,14,21,0,7,14,21
180,56.088,147,0,0,0,0,7,7,7,7,14,14,14,14,21,21,21,21
270,56.088,148,21,14,7,0,21,14,7,0,21,14,7,0,21,14,7,0
8.1301,56.9632,149,21,22,23,24,14,15,16,17,7,8,9,10,0,1,2,3
45,56.9632,150,15,20,25,30,10,15,20,25,5,10,15,20,0,5,10,15
81.8699,56.9632,151,3,10,17,24,2,9,16,23,1,8,15,22,0,7,14,21
98.1301,56.9632,152,0,7,14,21,1,8,15,22,2,9,16,23,3,10,17,24
135,56.9632,153,0,5,10,15,5,10,15,20,10,15,20,25,15,20,25,30
171.8699,56.9632,154,0,1,2,3,7,8,9,10,14,15,16,17,21,22,23,24
188.1301,56.9632,155,3,2,1,0,10,9,8,7,17,16,15,14,24,23,22,21
225,56.9632,156,15,10,5,0,20,15,10,5,25,20,15,10,30,25,20,15
261.8699,56.9632,157,21,14,7,0,22,15,8,1,23,16,9,2,24,17,10,3
278.1301,56.9632,158,24,17,10,3,23,16,9,2,22,15,8,1,21,14,7,0
315,56.9632,159,30,25,20,15,25,20,15,10,20,15,10,5,15,10,5,0
351.8699,56.9632,160,24,23,22,21,17,16,15,14,10,9,8,7,3,2,1,0
33.6901,58.7512,161,18,22,26,30,12,16,20,24,6,10,14,18,0,4,8,12
56.3099,58.7512,162,12,18,24,30,8,14,20,26,4,10,16,22,0,6,12,18
123.6901,58.7512,163,0,6,12,18,4,10,16,22,8,14,20,26,12,18,24,30
146.3099,58.7512,164,0,4,8,12,6,10,14,18,12,16,20,24,18,22,26,30
213.6901,58.7512,165,12,8,4,0,18,14,10,6,24,20,16,12,30,26,22,18
236.3099,58.7512,166,18,12,6,0,22,16,10,4,26,20,14,8,30,24,18,12
303.6901,58.7512,167,30,24,18,12,26,20,14,8,22,16,10,4,18,12,6,0
326.3099,58.7512,168,30,26,22,18,24,20,16,12,18,14,10,6,12,8,4,0
15.9454,59.6669,169,21,23,25,27,14,16,18,20,7,9,11,13,0,2,4,6
74.0546,59.6669,170,6,13,20,27,4,11,18,25,2,9,16,23,0,7,14,21
105.9454,59.6669,171,0,7,14,21,2,9,16,23,4,11,18,25,6,13,20,27
164.0546,59.6669,172,0,2,4,6,7,9,11,13,14,16,18,20,21,23,25,27
195.9454,59.6669,173,6,4,2,0,13,11,9,7,20,18,16,14,27,25,23,21
254.0546,59.6669,174,21,14,7,0,23,16,9,2,25,18,11,4,27,20,13,6
285.9454,59.6669,175,27,20,13,6,25,18,11,4,23,16,9,2,21,14,7,0
344.0546,59.6669,176,27,25,23,21,20,18,16,14,13,11,9,7,6,4,2,0
23.1986,64.5418,177,21,24,27,30,14,17,20,23,7,10,13,16,0,3,6,9
66.8014,64.5418,178,9,16,23,30,6,13,20,27,3,10,17,24,0,7,14,21
113.1986,64.5418,179,0,7,14,21,3,10,17,24,6,13,20,27,9,16,23,30
156.8014,64.5418,180,0,3,6,9,7,10,13,16,14,17,20,23,21,24,27,30
203.1986,64.5418,181,9,6,3,0,16,13,10,7,23,20,17,14,30,27,24,21
246.8014,64.5418,182,21,14,7,0,24,17,10,3,27,20,13,6,30,23,16,9
293.1986,64.5418,183,30,23,16,9,27,20,13,6,24,17,10,3,21,14,7,0
336.8014,64.5418,184,30,27,24,21,23,20,17,14,16,13,10,7,9,6,3,0
0,71.5232,185,24,24,24,24,16,16,16,16,8,8,8,8,0,0,0,0
90,71.5232,186,0,8,16,24,0,8,16,24,0,8,16,24,0,8,16,24
180,71.5232,187,0,0,0,0,8,8,8,8,16,16,16,16,24,24,24,24
270,71.5232,188,24,16,8,0,24,16,8,0,24,16,8,0,24,16,8,0
7.125,72.9078,189,24,25,26,27,16,17,18,19,8,9,10,11,0,1,2,3
82.875,72.9078,190,3,11,19,27,2,10,18,26,1,9,17,25,0,8,16,24
97.125,72.9078,191,0,8,16,24,1,9,17,25,2,10,18,26,3,11,19,27
172.875,72.9078,192,0,1,2,3,8,9,10,11,16,17,18,19,24,25,26,27
187.125,72.9078,193,3,2,1,0,11,10,9,8,19,18,17,16,27,26,25,24
262.875,72.9078,194,24,16,8,0,25,17,9,1,26,18,10,2,27,19,11,3
277.125,72.9078,195,27,19,11,3,26,18,10,2,25,17,9,1,24,16,8,0
352.875,72.9078,196,27,26,25,24,19,18,17,16,11,10,9,8,3,2,1,0
